,item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
440,1989,Mg,Mg2Ni0.75Cr0.25,3.2,61.0,250,523.15,0.9,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
446,132,A2B,Mg2Ni0.75Co0.25,3.2,61.0,250,523.15,0.5,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
452,1988,Mg,Mg2Ni0.75Co0.25,3.2,61.0,250,523.15,0.5,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,Sloping plateau
458,1828,Mg,Mg-1Ni,4.6,102.0,300,573.15,1.1,"Hong, 2002",1494.0,,Rotation-cylinder synthesis method,
459,2487,SS,Pd.9Rh.1,0.7,24.0,25,298.15,1.03,"Thiebaut, 1995",482.0,,,
460,857,AB2,Zr.8Ti.2MnFe,1.7,11.0,23,296.15,1.0,"Sinha, 1982",25.0,,,
461,600,AB2,ZrMn1.22Fe1.11,1.5,13.0,23,296.15,1.0,"Sinha, 1983",23.0,,,
462,572,AB2,ZrFe1.4Cr,1.7,21.0,23,296.15,1.0,"Sinha, 1985",554.0,,,
463,681,AB2,GdFe2,1.5,29.0,292,565.15,1.0,"Shaltiel, 1979",361.0,,,
464,1285,AB5,LaNi5,1.5,31.8,15,288.15,1.0,"Murray, 1981",261.0,,,
465,1042,AB5,LaNi4.6Cu0.3Mn0.1,1.4,32.0,35,308.15,1.0,"Ganich, 1999",1521.0,,,
466,1229,AB5,La0.75Ce0.25Ni4Cu0.9Al0.1,1.4,32.9,22,295.15,1.0,"Petrova, 1989",1520.0,,,
467,472,AB2,TiV1.6Ni.4,3.3,33.2,120,393.15,1.0,"Chen, 1994",1163.0,,,
468,1065,AB5,LaNi4.7Si.3,1.1,33.8,25,298.15,1.0,"Meli, 1992",674.0,,,
469,451,AB2,Ti.8Zr.2Mn1.7V.2Mo.1,2.0,35.0,14,287.15,1.0,"Gamo, 1979",35.0,,,
470,557,AB2,ZrCr2Ni.8,1.4,37.9,100,373.15,1.0,"Drasner, 1991",564.0,,,
