item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
1090,AB5,LaNi4Al0.5Cu0.5,1.4,40,22,295.15,0.09,"Burnasheva, 1984",1528,,,
113,A2B,Mg2Ni,3.5,64.4,180,453.15,0.09,"Guthrie, 1998",863,Vapor synthesized,Non-twinned,
1960,Mg,Mg2Ni,3.5,64.4,180,453.15,0.09,"Guthrie, 1998",863,Vapor synthesized,,
2054,MIC,CeNi3,0.9,,50,323.15,0.09,"van Essen, 1980",355,,,
473,AB2,TiV1.8Ni.2,3.6,35.3,90,363.15,0.08,"Chen, 1994",1163,,,
1053,AB5,LaNi4.6Sn.4,1.26,38.5,20,293.15,0.08,"Mendlesoh, 1978",116,,,
951,AB5,CaNi5,,42,22,295.15,0.08,"Yagisawa, 1984",671,Lowest plateau only,,
2548,SS,(V.8Ti.2).88Mn.08Fe.04,,48.5,25,298.15,0.08,"Libowitz, 1988",353,,,
291,AB,UCo,0.6,55,150,423.15,0.08,"Yamamoto, 1991",398,,,
414,AB2,ThZr2,0.5,413,910,1183.15,0.08,"Bartscher, 1988",556,,,
851,AB2,Zr.8Ti.2Cr1.25Mn,1.8,,65,338.15,0.08,"Sinha, 1985",554,,,
1250,AB5,LaCo5 (M),1.1,,40,313.15,0.08,"Patrikeev, 1984",505,,,
2132,MIC,La2.4Er3.8Co2Ni9Ga3,1,,30,303.15,0.08,"Pourarian, 1996",1170,,,
2654,SS,V.87Ti.13,3.6,,30,303.15,0.08,"Kim, 2001",1397,,,
1018,AB5,LaNi4.3Mn0.4Al0.3,,,40,313.15,0.079,"Joubert, 2000",1512,,,
622,AB2,ZrMn2.5,1.4,32,50,323.15,0.07,"Luo, 1992",582,,,
2470,SS,Pd.95Sb.05,0.5,34.6,100,373.15,0.07,"Sakamoto, 1996",637,,,
114,A2B,Mg2Ni,3.5,64.4,180,453.15,0.07,"Guthrie, 1998",863,Vapor synthesized,Twinned,
1959,Mg,Mg2Ni,3.5,64.4,180,453.15,0.07,"Guthrie, 1998",863,Vapor synthesized,,
985,AB5,CeFe5,0.7,82,100,373.15,0.07,"Lundin, 1975",253,,,
458,AB2,Ti.8Zr.3Mn1.4La.05V.2Cr.2,1.8,,20,293.15,0.07,"Au, 1995",860,,,
460,AB2,Ti.8Zr.3Mn1.4Mo.1V.1Cr.2,1.8,,20,293.15,0.07,"Au, 1995",860,,,
544,AB2,Zr.5Ti.5Mn.4V.6Ni.85Cu.15,1.6,,30,303.15,0.07,"Song, 2001",1238,,,sloping plateau
1127,AB5,MmNi3.61Mn.3Al.4Co.69,1.3,,22,295.15,0.07,"Latroche, 1999",1193,,,
2534,SS,Ti.435V.49Fe.075,3.8,,40,313.15,0.07,"Nomura, 1995",480,,,
2558,SS,Nb.736Fe.184Cr.08,1,,45,318.15,0.07,"Esayed, 1997",846,,,
709,AB2,Ho.8Zr.2Co2,,13,27,300.15,0.06,"Ramesh, 1991",682,,,
774,AB2,Ti.9Zr.3Mn1.3Cu.05Mo.05V.2Cr.2,2,15.2,20,293.15,0.06,"Au, 1995",860,,,
633,AB2,ZrMn2Cu.8,1.4,27,50,323.15,0.06,"Pourarian, 1984",551,,,
1292,AB5,LaNi5,1.5,28.5,-55,218.15,0.06,"Andreev, 1978",670,Low temperature data,,
706,AB2,Ho.6Zr.4Co2,,30,27,300.15,0.06,"Ramesh, 1991",682,,,
632,AB2,ZrMn2Cu.8,,31.6,23,296.15,0.06,"Pedziwiatr, 1983",28,,,
1249,AB5,LaCo5 (M),1,42.3,30,303.15,0.06,"Ishikawa, 2002",1510,,,
2544,SS,(V.85Ti.15).92Mn.08,,50.6,25,298.15,0.06,"Libowitz, 1988",353,,,
119,A2B,Mg2Ni,3.6,68.8,180,453.15,0.06,"Guthrie, 1998",863,Melted,Non-twinned,
1966,Mg,Mg2Ni,3.6,68.8,180,453.15,0.06,"Guthrie, 1998",863,Melted,,
319,AB,ZrNi.8Co.2,1.8,,232,505.15,0.06,"Sandrock, 1987",336,,,
606,AB2,ZrMn1.8,1.2,,50,323.15,0.06,"van Essen, 1980",17,,,
656,AB2,ErFe2,1.7,,24,297.15,0.06,"Shashikala, 1996",1165,,,sloping plateau
2482,SS,Pd.9Cu.1,0.5,,30,303.15,0.06,"Burch, 1974",467,,,
2476,SS,Pd.975Rh.025,0.7,36,30,303.15,0.056,"Sakamoto, 1994",868,,,
1013,AB5,LaNi4.25Al.75,1.13,44.1,40,313.15,0.054,"Diaz, 1979",270,,,
1046,AB5,LaNi4.6In.4,1.2,39.8,20,293.15,0.05,"Mendlesohn, 1978",116,,,
144,AB,ThCo,1.4,46.8,40,313.15,0.05,"Buschow, 1975",187,,,
115,A2B,Mg2Ni,3.5,68.6,180,453.15,0.05,"Guthrie, 1998",863,Melted,Twinned,
1961,Mg,Mg2Ni,3.5,68.6,180,453.15,0.05,"Guthrie, 1998",863,Melted,,
330,AB2,CaNi2,2.1,85,25,298.15,0.05,"Oesterreicher, 1980",43,,,
308,AB,ZrCo,1.2,90,252,525.15,0.05,"Devillers, 1989",399,,,
333,AB2,CeAl1.25Cr.75,0.6,,21,294.15,0.05,"Gross, 1996",630,,,
353,AB2,CeMnAl,0.9,,21,294.15,0.05,"Gross, 1996",630,,,
490,AB2,YCo2,1.8,,25,298.15,0.05,"Shaltiel, 1977",14,,,
744,AB2,MmMnAl,1,,21,294.15,0.05,"Gross, 1996",630,,,
1244,AB5,LaCo4.95Mn.05 (M),1.6,,21,294.15,0.05,"Klyamkin, 1993",587,,,
1251,AB5,LaCo5 (M),1.9,,21,294.15,0.05,"Lakner, 1976",166,,,
2133,MIC,La2.4Er3.8Co4Ni7Ga3,1,,30,303.15,0.05,"Pourarian, 1996",1170,,,absorption?
2646,SS,V.67Ti.30Ni.03,2.6,,60,333.15,0.05,"Nambu, 2002",1413,,,Sloping plateau?
1268,AB5,LaNi3.94Mn0.4Al0.3Co0.36,,,40,313.15,0.047,"Joubert, 2000",1512,,,
1095,AB5,LaNi4Cr,0.54,34,25,298.15,0.04,"Misawa, 1979",118,,,
2471,SS,Pd.95Sc.05,0.5,37.4,50,323.15,0.04,"Sakamoto, 1993",604,,,
2547,SS,(V.8Ti.2).86Mn.14,,48.6,25,298.15,0.04,"Libowitz, 1988",353,,,
952,AB5,CaNi5,0.3,62,22,295.15,0.04,"Yagisawa, 1984",671,Lowest plateau only,,
546,AB2,Zr.5Ti.5Mn.4V.6Ni.85Mo.15,1.6,,30,303.15,0.04,"Song, 2001",1238,,,sloping plateau
1384,AB5,PrCo5,0.8,,21,294.15,0.04,"Kuijpers, 1974",602,,,
2131,MIC,La2.4Er3.8Co11Ga3,1,,30,303.15,0.04,"Pourarian, 1996",1170,,,absorption?
1262,AB5,LaNi3.55Mn0.4Al0.3Co0.75,,,40,313.15,0.038,"Joubert, 2000",1512,,,
189,AB,TiFe.6Ni.4,1.5,48.6,50,323.15,0.035,"Bershadsky, 1993",395,,,
2543,SS,(V.63Ti.37).8Mn.1Fe.1,,44.7,25,298.15,0.03,"Libowitz, 1988",353,,,
2542,SS,(V.59Ti.41).74Mn.26,,52.7,25,298.15,0.03,"Libowitz, 1988",353,,,
619,AB2,ZrMn2,1.8,53.2,80,353.15,0.03,"Shaltiel, 1977",14,,,
